age,2,7,12,17,22,27,32,37,42,47,52
20,,,,,,,,,,,
22,,,,,,,,,,,
27,37215.0,8652.0,,,,,,,,,
32,24961.0,17250.0,76367.0,,,,,,,,
37,53053.0,27029.0,63235.0,77637.0,,,,,,,
42,42096.0,37309.0,88336.0,75094.0,106347.0,,,,,,
47,54868.0,66050.0,52282.0,108084.0,88408.0,102145.0,28406.0,,,,
52,62842.0,38362.0,82480.0,77074.0,71254.0,86667.0,125976.0,157647.0,,,
57,32352.0,66494.0,45005.0,99802.0,91706.0,111580.0,102202.0,120194.0,,,
62,47076.0,53367.0,63778.0,69254.0,77451.0,67898.0,100965.0,62594.0,,,
67,35921.0,58172.0,48546.0,55796.0,53336.0,66599.0,92269.0,114664.0,102296.0,,
