age,2,7,12,17,22,27,32,37,42,47,52
20,754,,,,,,,,,,
22,6941,159.0,,,,,,,,,
27,12082,5626.0,54.0,1.0,,,,,,,
32,11334,17310.0,3246.0,119.0,,,,,,,
37,9825,14909.0,10663.0,4466.0,111.0,,,,,,
42,9015,12296.0,8628.0,13930.0,3854.0,83.0,,,,,
47,7785,10719.0,7337.0,11435.0,11422.0,3135.0,54.0,,,,
52,7830,10740.0,7754.0,11283.0,11466.0,11104.0,2256.0,76.0,,,
57,6626,9371.0,7217.0,10750.0,10363.0,9346.0,3996.0,701.0,14.0,,
62,3835,6748.0,5019.0,7412.0,6822.0,5678.0,1558.0,900.0,165.0,3.0,
67,1688,3466.0,2908.0,3358.0,2085.0,1285.0,767.0,518.0,327.0,123.0,56.0
